,cell id,vertex id
0,0,94
1,0,65
2,0,69
3,0,66
4,0,12
5,0,95
6,1,179
7,1,58
8,1,57
9,1,10
10,1,56
11,1,180
12,2,232
13,2,81
14,2,180
15,2,56
16,2,55
17,2,181
18,3,199
19,3,63
20,3,11
21,3,59
22,3,191
23,3,200
24,4,213
25,4,212
26,4,211
27,4,209
28,4,210
29,4,214
30,5,202
31,5,63
32,5,199
33,5,198
34,5,209
35,5,211
36,6,209
37,6,198
38,6,197
39,6,208
40,6,205
41,6,210
42,7,201
43,7,204
44,7,203
45,7,202
46,7,211
47,7,212
48,8,192
49,8,196
50,8,193
51,8,201
52,8,212
53,8,213
54,9,217
55,9,216
56,9,215
57,9,218
58,9,219
59,9,220
60,10,10
61,10,57
62,10,183
63,10,182
64,10,215
65,10,216
66,11,9
67,11,55
68,11,56
69,11,10
70,11,216
71,11,217
72,12,64
73,12,2
74,12,1
75,12,9
76,12,217
77,12,220
78,13,218
79,13,70
80,13,71
81,13,67
82,13,68
83,13,219
84,14,219
85,14,68
86,14,69
87,14,65
88,14,64
89,14,220
90,15,221
91,15,70
92,15,218
93,15,215
94,15,182
95,15,222
96,16,226
97,16,74
98,16,206
99,16,207
100,16,176
101,16,227
102,17,233
103,17,61
104,17,62
105,17,13
106,17,14
107,17,234
108,18,240
109,18,14
110,18,13
111,18,72
112,18,237
113,18,242
114,19,243
115,19,239
116,19,240
117,19,242
118,19,241
119,19,244
120,20,253
121,20,75
122,20,78
123,20,79
124,20,229
125,20,256
126,21,15
127,21,75
128,21,253
129,21,254
130,21,257
131,21,258
132,22,238
133,22,237
134,22,72
135,22,73
136,22,259
137,22,260
138,23,265
139,23,264
140,23,262
141,23,263
142,23,261
143,23,266
144,24,261
145,24,17
146,24,20
147,24,21
148,24,86
149,24,266
150,25,51
151,25,52
152,25,53
153,25,50
154,25,262
155,25,264
156,26,262
157,26,50
158,26,83
159,26,84
160,26,18
161,26,263
162,27,87
163,27,265
164,27,266
165,27,86
166,27,268
167,27,270
168,28,275
169,28,272
170,28,271
171,28,24
172,28,89
173,28,276
174,29,281
175,29,280
176,29,278
177,29,277
178,29,279
179,29,282
180,30,89
181,30,24
182,30,23
183,30,22
184,30,277
185,30,278
186,31,277
187,31,22
188,31,19
189,31,20
190,31,17
191,31,279
192,32,279
193,32,17
194,32,261
195,32,263
196,32,18
197,32,282
198,33,333
199,33,291
200,33,292
201,33,293
202,33,471
203,33,38
204,34,291
205,34,288
206,34,287
207,34,88
208,34,274
209,34,292
210,35,292
211,35,274
212,35,273
213,35,271
214,35,272
215,35,293
216,36,173
217,36,303
218,36,304
219,36,172
220,36,306
221,36,311
222,37,314
223,37,92
224,37,93
225,37,284
226,37,283
227,37,315
228,38,365
229,38,367
230,38,366
231,38,364
232,38,412
233,38,413
234,39,365
235,39,181
236,39,55
237,39,9
238,39,1
239,39,367
240,40,369
241,40,58
242,40,179
243,40,80
244,40,60
245,40,371
246,41,379
247,41,378
248,41,377
249,41,375
250,41,376
251,41,380
252,42,375
253,42,11
254,42,63
255,42,202
256,42,203
257,42,376
258,43,376
259,43,203
260,43,204
261,43,186
262,43,189
263,43,380
264,44,187
265,44,451
266,44,457
267,44,185
268,44,378
269,44,379
270,45,189
271,45,190
272,45,188
273,45,187
274,45,379
275,45,380
276,46,381
277,46,377
278,46,378
279,46,185
280,46,184
281,46,383
282,47,59
283,47,11
284,47,375
285,47,377
286,47,381
287,47,382
288,48,15
289,48,258
290,48,259
291,48,73
292,48,388
293,48,389
294,49,388
295,49,73
296,49,72
297,49,13
298,49,62
299,49,390
300,50,390
301,50,62
302,50,61
303,50,194
304,50,195
305,50,391
306,51,392
307,51,393
308,51,394
309,51,395
310,51,396
311,51,397
312,52,224
313,52,71
314,52,70
315,52,221
316,52,392
317,52,397
318,53,394
319,53,51
320,53,264
321,53,265
322,53,87
323,53,395
324,54,395
325,54,87
326,54,270
327,54,269
328,54,223
329,54,396
330,55,398
331,55,178
332,55,54
333,55,53
334,55,52
335,55,400
336,56,393
337,56,392
338,56,221
339,56,222
340,56,399
341,56,401
342,57,400
343,57,52
344,57,51
345,57,394
346,57,393
347,57,401
348,58,404
349,58,405
350,58,229
351,58,79
352,58,407
353,58,409
354,59,408
355,59,76
356,59,77
357,59,402
358,59,404
359,59,409
360,60,364
361,60,450
362,60,188
363,60,190
364,60,410
365,60,412
366,61,411
367,61,231
368,61,232
369,61,181
370,61,365
371,61,413
372,62,416
373,62,414
374,62,415
375,62,417
376,62,418
377,62,419
378,63,415
379,63,80
380,63,179
381,63,180
382,63,81
383,63,417
384,64,234
385,64,14
386,64,240
387,64,239
388,64,416
389,64,419
390,65,417
391,65,81
392,65,232
393,65,231
394,65,235
395,65,418
396,66,418
397,66,235
398,66,236
399,66,233
400,66,234
401,66,419
402,67,421
403,67,414
404,67,416
405,67,239
406,67,243
407,67,424
408,68,60
409,68,80
410,68,415
411,68,414
412,68,421
413,68,422
414,69,368
415,69,370
416,69,372
417,69,294
418,69,517
419,69,427
420,70,432
421,70,281
422,70,282
423,70,18
424,70,84
425,70,433
426,71,436
427,71,224
428,71,397
429,71,396
430,71,223
431,71,437
432,72,437
433,72,223
434,72,269
435,72,267
436,72,255
437,72,439
438,73,255
439,73,254
440,73,253
441,73,256
442,73,438
443,73,439
444,74,441
445,74,443
446,74,442
447,74,440
448,74,444
449,74,445
450,75,268
451,75,86
452,75,21
453,75,85
454,75,440
455,75,442
456,76,260
457,76,259
458,76,258
459,76,257
460,76,441
461,76,445
462,77,441
463,77,257
464,77,254
465,77,255
466,77,267
467,77,443
468,78,267
469,78,269
470,78,270
471,78,268
472,78,442
473,78,443
474,79,241
475,79,242
476,79,237
477,79,238
478,79,447
479,79,449
480,80,447
481,80,238
482,80,260
483,80,445
484,80,444
485,80,448
486,81,482
487,81,284
488,81,93
489,81,467
490,81,468
491,81,483
492,82,484
493,82,283
494,82,284
495,82,482
496,82,480
497,82,485
498,83,225
499,83,174
500,83,175
501,83,285
502,83,486
503,83,487
504,84,226
505,84,227
506,84,228
507,84,225
508,84,487
509,84,488
510,85,512
511,85,462
512,85,5
513,85,6
514,85,511
515,85,513
516,86,288
517,86,291
518,86,333
519,86,36
520,86,462
521,86,512
522,87,4
523,87,299
524,87,286
525,87,96
526,87,511
527,87,6
528,88,511
529,88,96
530,88,27
531,88,82
532,88,290
533,88,513
534,89,290
535,89,289
536,89,287
537,89,288
538,89,512
539,89,513
