,vertex i,adj 1,adj 2,adj 3,cell 1,cell 2,cell 3
0,0,2,1,7,1,14,0
1,1,29,26,0,3,1,0
2,2,42,28,0,10,14,1
3,3,201,25,55,24,70,4
4,4,11,157,6,41,43,37
5,5,12,6,279,43,44,38
6,6,5,4,281,43,38,37
7,7,284,0,8,14,53,0
8,8,74,7,27,53,35,0
9,9,278,10,13,40,42,39
10,10,156,11,9,41,40,39
11,11,4,12,10,43,41,39
12,12,5,14,11,44,43,39
13,13,277,9,15,42,46,39
14,14,75,15,12,45,44,39
15,15,114,13,14,46,45,39
16,16,289,17,296,59,48,47
17,17,21,295,16,50,59,47
18,18,36,289,410,59,58,15
19,19,79,159,20,52,57,49
20,20,21,19,299,57,50,49
21,21,35,20,17,57,59,50
22,22,158,91,23,52,53,51
23,23,284,22,24,53,54,51
24,24,283,23,32,54,55,51
25,25,138,50,3,9,24,4
26,26,53,27,1,2,3,0
27,27,49,8,26,35,2,0
28,28,43,30,2,8,10,1
29,29,1,30,54,1,3,7
30,30,144,29,28,7,8,1
31,31,282,32,91,94,56,51
32,32,287,24,31,55,94,51
33,33,35,34,79,93,57,56
34,34,169,282,33,95,93,56
35,35,36,33,21,93,59,57
36,36,35,18,37,59,93,58
37,37,169,36,118,93,75,58
38,38,179,175,166,127,98,11
39,39,183,40,300,99,132,60
40,40,41,297,39,61,99,60
41,41,182,378,40,155,99,61
42,42,285,154,2,13,14,10
43,43,277,112,28,46,10,8
44,44,347,186,45,194,193,192
45,45,350,44,47,193,199,192
46,46,77,143,113,63,64,8
47,47,67,45,48,199,203,192
48,48,206,47,57,203,195,192
49,49,405,27,52,35,33,2
50,50,220,51,25,33,9,4
51,51,52,56,50,6,33,4
52,52,51,49,53,33,6,2
53,53,54,52,26,6,3,2
54,54,139,53,29,6,7,3
55,55,95,3,56,70,69,4
56,56,140,55,51,69,6,4
57,57,48,186,353,192,195,117
58,58,70,352,59,207,205,196
59,59,61,58,349,205,198,196
60,60,69,61,318,205,206,202
61,61,60,59,65,205,202,198
62,62,350,67,65,199,198,197
63,63,86,64,66,201,200,197
64,64,317,65,63,202,201,197
65,65,61,62,64,198,202,197
66,66,356,63,67,200,203,197
67,67,47,66,62,203,199,197
68,68,280,281,392,38,12,207
