,cell id,vertex id
0,0,26
1,0,1
2,0,0
3,0,7
4,0,8
5,0,27
6,1,28
7,1,2
8,1,0
9,1,1
10,1,29
11,1,30
12,2,26
13,2,27
14,2,49
15,2,52
16,2,53
17,3,29
18,3,1
19,3,26
20,3,53
21,3,54
22,4,51
23,4,50
24,4,25
25,4,3
26,4,55
27,4,56
28,5,116
29,5,115
30,5,114
31,5,112
32,5,113
33,5,117
34,6,139
35,6,54
36,6,53
37,6,52
38,6,51
39,6,56
40,6,140
41,7,29
42,7,54
43,7,139
44,7,141
45,7,142
46,7,144
47,7,30
48,8,143
49,8,46
50,8,113
51,8,112
52,8,43
53,8,28
54,8,30
55,8,144
56,9,138
57,9,25
58,9,50
59,9,220
60,9,221
61,10,154
62,10,42
63,10,2
64,10,28
65,10,43
66,10,277
67,10,278
68,11,279
69,11,165
70,11,175
71,11,38
72,11,166
73,11,280
74,12,280
75,12,166
76,12,415
77,12,391
78,12,392
79,12,68
80,13,42
81,13,154
82,13,155
83,13,160
84,13,283
85,13,285
86,14,284
87,14,7
88,14,0
89,14,2
90,14,42
91,14,285
92,15,129
93,15,288
94,15,289
95,15,18
96,15,410
97,16,291
98,16,163
99,16,162
100,16,290
101,16,294
102,17,161
103,17,128
104,17,163
105,17,291
106,17,292
107,18,296
108,18,292
109,18,291
110,18,294
111,18,293
112,18,298
113,19,143
114,19,144
115,19,142
116,19,339
117,19,341
118,20,141
119,20,139
120,20,140
121,20,354
122,20,355
123,21,358
124,21,357
125,21,201
126,21,200
127,21,361
128,21,362
129,22,138
130,22,221
131,22,219
132,22,368
133,22,370
134,22,369
135,23,137
136,23,360
137,23,361
138,23,200
139,23,369
140,23,370
141,23,371
142,24,369
143,24,200
144,24,201
145,24,3
146,24,25
147,24,138
148,25,379
149,25,371
150,25,370
151,25,368
152,25,380
153,26,384
154,26,382
155,26,383
156,26,212
157,26,145
158,26,385
159,27,394
160,27,382
161,27,384
162,27,386
163,27,395
164,28,396
165,28,395
166,28,386
167,28,387
168,28,398
169,28,399
170,29,400
171,29,172
172,29,397
173,29,393
174,29,401
