,vertex i,vertex j,lij,l0ij,Tij
0,0,2,0.51778,0.51763,0.1
1,0,1,0.43371,0.43374,0.1
2,0,7,0.92429,0.9244,0.1
3,1,29,0.76149,0.76162,0.1
4,1,26,0.64408,0.64396,0.1
5,2,42,0.71298,0.71302,0.1
6,2,28,0.82504,0.82523,0.1
7,3,201,0.65476,0.65467,0.1
8,3,25,0.43943,0.43952,0.1
9,3,55,0.68946,0.68941,0.1
10,4,11,0.87366,0.87361,0.1
11,4,157,0.49689,0.49695,0.1
12,4,6,0.56228,0.5623,0.1
13,5,12,0.70604,0.706,0.1
14,5,6,0.88029,0.88029,0.1
15,5,279,0.32711,0.32716,0.1
16,6,281,0.53157,0.53151,0.1
17,7,284,0.32395,0.324,0.1
18,7,8,0.54523,0.54509,0.1
19,8,74,0.55696,0.55702,0.1
20,8,27,0.59071,0.59078,0.1
21,9,278,0.93725,0.93719,0.1
22,9,10,0.39649,0.39644,0.1
23,9,13,0.94912,0.94918,0.1
24,10,156,0.8645,0.86459,0.1
25,10,11,0.27388,0.27385,0.1
26,11,12,0.76374,0.76381,0.1
27,12,14,0.62172,0.62171,0.1
28,13,277,1.00727,1.0072,0.1
29,13,15,0.24972,0.24976,0.1
30,14,75,0.65111,0.65116,0.1
31,14,15,0.60654,0.6065,0.1
32,15,114,0.59868,0.59867,0.1
33,16,289,0.42032,0.42039,0.1
34,16,17,0.71947,0.71948,0.1
35,16,296,0.69774,0.69769,0.1
36,17,21,0.51213,0.51207,0.1
37,17,295,0.48692,0.48695,0.1
38,18,36,0.63302,0.633,0.1
39,18,289,0.39784,0.39781,0.1
40,18,410,0.92349,0.9235,0.1
41,19,79,0.68627,0.68624,0.1
42,19,159,0.51049,0.51059,0.1
43,19,20,0.50717,0.5071,0.1
44,20,21,0.8046,0.80469,0.1
45,20,299,0.76027,0.76023,0.1
46,21,35,0.53312,0.53311,0.1
47,22,158,0.33605,0.33598,0.1
48,22,91,0.77203,0.77211,0.1
49,22,23,0.44848,0.44844,0.1
50,23,284,0.85822,0.85831,0.1
51,23,24,0.72439,0.72434,0.1
52,24,283,0.69491,0.69495,0.1
53,24,32,0.57761,0.57766,0.1
54,25,138,0.71821,0.71821,0.1
55,25,50,0.71992,0.71987,0.1
