,vertex id,x,y
0,0,4.0598435407,3.8718225177
1,1,4.492025465,3.9082099332
2,2,3.8037813899,3.4217868615
3,3,7.0454268167,5.9574408631
4,4,0.7894123329,2.2492194311
5,5,1.1745908131,1.1143113128
6,6,0.5539727904,1.7386026911
7,7,3.5872680017,4.6661685524
8,8,3.8905687962,5.119257493
9,9,2.2258833199,2.3561474429
10,10,1.8309673521,2.391400473
11,11,1.6601081798,2.1773555209
12,12,1.8071683747,1.4279111415
13,13,2.8813482924,1.6697045844
14,14,2.3490807407,1.1231612245
15,15,2.8780189048,1.420008596
16,16,1.4397974512,8.9389363783
17,17,2.0025429218,8.4906518331
18,18,0.852360403,8.4921239952
19,19,2.6850190019,7.0814734441
20,20,2.6949090716,7.588549775
21,21,1.991197721,7.9786481032
22,22,2.726260742,5.7479191746
23,23,2.6882269458,5.3010543059
24,24,2.0407883276,4.9761444443
25,25,6.6633362309,6.1744699716
26,26,4.7678981148,4.4902187963
27,27,4.4773286326,5.0510447092
28,28,4.2256185877,2.7127378792
29,29,5.0350394698,3.374359023
30,30,4.9519553746,2.8576533622
31,31,1.5187201672,5.8351338229
32,32,1.5323280538,5.2501951414
33,33,1.5721304804,7.0521696235
34,34,0.9478859735,6.6818100342
35,35,1.5414219293,7.692427482
36,36,1.0593237993,7.893890684
37,37,0.4127350888,7.4482987096
38,38,0.7133218094,14.6178228378
39,39,3.5990451571,9.0297456151
40,40,2.9925450599,9.6748494829
41,41,3.2478806864,10.3385241279
42,42,3.0949730252,3.4987733033
43,43,3.9944950669,2.3376011629
44,44,11.6588483763,3.9821710817
45,45,11.4635157879,3.6730022629
46,46,4.7170799572,1.6383214313
47,47,10.6210725958,3.6265723394
48,48,10.331242199,4.0261010952
49,49,4.9689770197,5.6195266284
50,50,6.0075276985,5.8774800782
51,51,5.928736473,5.3212258482
52,52,5.7500870138,5.2423187545
53,53,5.5430250554,4.522691919
54,54,5.8171118132,3.9171092146
55,55,7.0657972064,5.2682866406
56,56,6.5329710731,4.9383600672
57,57,10.6373106036,4.6107088738
58,58,12.9330461932,2.1607445156
59,59,12.5489915955,2.3840992402
60,60,11.7858236721,1.33254502
61,61,11.7482453416,1.827254459
62,62,11.2496658298,2.5532566918
63,63,10.1574522417,2.0668188866
64,64,10.5925796729,1.703605427
65,65,11.2768171229,2.0686014047
66,66,10.2852109154,2.9268736683
67,67,10.4727382297,3.0157298793
68,68,13.8360077856,1.1232512868
69,69,12.2373636039,1.1206902976
70,70,12.8630067523,1.4787839057
71,71,12.387121923,0.3386812561
72,72,0.8369169697,3.2231024308
73,73,5.9723399554,0.2409645919
74,74,3.7005410765,5.6428000693
75,75,2.3171791547,0.4728381795
76,76,5.371092803,0.6539651737
77,77,5.3924612839,1.0651994221
78,78,6.0289736735,1.4134945363
79,79,2.0778331071,6.7616479095
80,80,7.0418841701,0.1418579488
81,81,7.6650184097,0.4063022559
82,82,7.7049524906,0.9677375863
83,83,6.5506020247,0.497745261
84,84,7.0428331319,1.3581219278
85,85,6.5823824653,1.0979144741
86,86,9.5742747026,1.9938948228
87,87,9.144877172,2.7829806801
88,88,10.1585922385,0.1204082625
89,89,8.1085848757,0.0277329595
90,90,8.7993775631,0.1322152115
91,91,2.0688133002,6.1526241633
