,vertex i,adj 1,adj 2,adj 3,cell 1,cell 2,cell 3
0,0,5519,931,926,2566,2386,2380
1,1,1914,144,2405,2559,2560,2379
2,2,6,4,3,66,2,0
3,3,58,2,16,2,3,0
4,4,51,5,2,1,66,0
5,5,25,17,4,32,1,0
6,6,774,2,8,66,64,2
7,7,8,448,47,77,64,14
8,8,7,6,60,64,77,2
9,9,1648,10,3016,427,363,362
10,10,9,509,463,427,362,86
11,11,87,542,12,119,454,112
12,12,11,532,1715,112,454,106
13,13,14,110,120,134,440,128
14,14,3212,15,13,441,440,134
15,15,14,522,1770,441,134,133
16,16,126,3,17,3,4,0
17,17,339,16,5,4,32,0
18,18,5514,1850,136,1606,2031,1045
19,19,2050,4733,3764,1652,1159,1140
20,20,4644,21,3802,2360,2365,615
21,21,20,295,294,2360,615,187
22,22,2365,1162,2508,2632,2613,2612
23,23,2526,2900,1162,2631,2632,2550
24,24,366,25,50,216,36,1
25,25,1278,5,24,32,216,1
26,26,343,337,1277,34,709,31
27,27,382,372,28,37,40,5
28,28,380,27,31,40,6,5
29,29,1823,1328,373,255,152,39
30,30,1334,31,371,266,271,5
31,31,386,28,30,6,266,5
32,32,392,341,1354,219,1018,43
33,33,2763,4388,1367,952,1322,46
34,34,3241,397,1368,948,46,45
35,35,1837,1375,400,302,161,47
36,36,702,37,2467,27,2418,8
37,37,419,41,36,780,27,8
38,38,4090,39,41,781,780,7
39,39,1409,409,38,785,781,7
40,40,2460,41,408,8,1754,7
41,41,37,38,40,780,8,7
42,42,1423,423,436,58,55,13
43,43,1464,44,54,75,76,9
44,44,438,422,43,13,75,9
45,45,437,429,1421,157,55,54
46,46,440,57,590,74,156,20
47,47,772,7,49,64,63,14
48,48,4127,445,49,1373,805,63
49,49,48,47,52,63,805,14
50,50,368,24,51,36,65,1
51,51,773,50,4,65,66,1
52,52,446,49,450,805,71,14
53,53,1396,54,421,49,1357,9
54,54,55,43,53,76,49,9
55,55,447,54,56,76,69,49
56,56,780,55,1394,69,70,49
57,57,1462,59,46,73,74,20
58,58,59,60,3,73,3,2
59,59,57,58,123,73,20,3
60,60,785,8,58,77,73,2
61,61,914,63,506,1858,1857,17
62,62,454,79,63,391,80,17
63,63,801,62,61,80,1858,17
64,64,65,617,620,543,383,167
65,65,64,468,467,383,543,378
66,66,4177,470,794,841,840,356
67,67,5152,68,472,1402,1403,91
68,68,473,1572,67,93,1402,91
69,69,4176,795,2142,840,839,202
70,70,2140,796,300,202,631,197
71,71,3126,72,3107,882,1873,400
72,72,74,3102,71,867,882,400
73,73,511,480,1614,102,407,96
74,74,4244,3112,72,1407,882,867
75,75,3118,481,1619,403,402,98
76,76,1625,493,487,100,884,16
77,77,78,459,1635,411,419,101
78,78,1630,3133,77,413,419,411
79,79,3067,507,62,827,391,17
80,80,4264,516,81,901,1581,107
81,81,5466,80,536,1581,1989,107
82,82,3192,1671,549,437,471,435
83,83,3239,524,134,449,450,22
84,84,518,86,1720,2223,909,109
85,85,89,537,86,117,915,109
86,86,4298,85,84,915,2223,109
87,87,3252,1739,11,453,454,119
88,88,547,1728,544,121,118,110
89,89,90,548,85,122,915,117
90,90,4299,546,89,1432,915,122
91,91,2399,1104,3651,2372,2373,1611
92,92,2401,4655,93,2371,2372,1613
93,93,92,3813,1104,1613,2372,1612
94,94,4813,96,95,1700,1615,1614
95,95,652,94,97,1615,1616,1614
96,96,4680,99,94,1620,1700,1614
97,97,3642,95,98,1616,1617,1614
98,98,4662,97,99,1617,2041,1614
99,99,1153,98,96,2041,1620,1614
100,100,101,102,3665,2046,1619,1618
101,101,1444,100,3660,2046,2045,1619
102,102,1153,4683,100,1620,2046,1618
103,103,1987,1156,107,1622,1624,1621
104,104,3727,105,1156,1625,1623,1621
105,105,3647,106,104,1626,1625,1621
106,106,4666,107,105,1627,1626,1621
107,107,4664,103,106,1624,1627,1621
108,108,113,109,553,124,132,18
109,109,1754,442,108,125,124,18
110,110,1771,1766,13,131,134,128
111,111,4690,5348,5349,2044,1634,1628
112,112,3307,1753,113,475,476,124
113,113,1772,112,108,476,132,124
114,114,4108,805,572,798,1844,140
115,115,4454,575,116,994,995,143
116,116,566,115,559,995,170,143
117,117,118,1763,568,138,1001,127
118,118,3325,1794,117,481,1001,138
119,119,569,120,1764,139,137,128
120,120,570,13,119,440,139,128
121,121,2952,1821,374,329,330,152
122,122,1272,588,124,154,30,19
123,123,592,59,126,20,21,3
124,124,125,122,591,30,21,19
125,125,124,126,338,21,30,4
126,126,125,123,16,21,4,3
127,127,130,128,970,504,499,162
128,128,3374,1873,127,505,504,162
129,129,5516,3375,130,1608,1609,504
130,130,129,127,3368,504,1609,499
131,131,1216,132,614,2017,2356,514
132,132,615,594,131,2640,2017,514
133,133,1906,1096,134,451,1093,450
134,134,133,83,612,450,1093,22
135,135,1450,4738,137,2051,2058,1641
136,136,4646,18,1876,2031,2311,1045
137,137,1455,135,4721,2058,2054,1641
138,138,1451,143,141,2054,2053,1649
139,139,4819,141,140,1650,1651,1649
140,140,3779,139,142,1651,1659,1649
141,141,3774,138,139,2053,1650,1649
142,142,167,140,143,1659,1661,1649
143,143,4721,142,138,1661,2054,1649
144,144,1,147,1469,2559,2379,2066
145,145,1470,146,4725,2066,2065,2048
146,146,147,1447,145,2050,2066,2048
147,147,144,171,146,2559,2066,2050
148,148,150,4734,149,1657,2073,1652
149,149,1482,148,2050,2073,2071,1652
150,150,148,151,154,2073,1657,1656
151,151,1476,4729,150,2072,2073,1656
152,152,1467,155,157,2065,2064,1653
153,153,4723,156,155,1655,1654,1653
154,154,150,157,156,1656,1657,1653
155,155,4725,153,152,1654,2065,1653
156,156,4735,154,153,1657,1655,1653
157,157,4728,152,154,2064,1656,1653
158,158,1483,159,1512,2388,2401,2086
159,159,2417,4736,158,2564,2388,2086
160,160,1919,162,4736,2563,2564,2078
161,161,1921,4717,163,2565,2563,1665
162,162,160,163,1487,2563,2078,2077
163,163,162,161,182,2563,2077,1665
164,164,1513,4736,1489,2086,2578,2078
165,165,3778,167,166,1659,1660,1658
166,166,3721,165,169,1660,2402,1658
167,167,142,168,165,1661,1659,1658
168,168,4720,170,167,2076,1661,1658
169,169,2436,166,170,2402,2400,1658
170,170,1479,169,168,2400,2076,1658
171,171,1913,172,147,2558,2559,2050
172,172,174,1448,171,2051,2558,2050
173,173,1915,1478,174,2561,2558,2075
174,174,173,4738,172,2075,2558,2051
175,175,184,1492,1486,2083,2570,2080
176,176,4741,1485,1490,2572,2081,2080
177,177,1495,178,4860,2084,2082,1662
178,178,180,2026,177,1663,2084,1662
179,179,1494,186,180,2083,2084,1666
180,180,179,4739,178,1666,2084,1663
181,181,1928,183,184,2569,2570,1664
182,182,163,185,183,1665,2077,1664
183,183,1488,182,181,2077,2569,1664
184,184,175,181,186,2570,2083,1664
185,185,4740,186,182,1666,1665,1664
186,186,179,184,185,2083,1666,1664
187,187,2430,4741,188,2397,2394,2081
188,188,1506,187,1493,2394,2085,2081
189,189,3524,1511,1691,2677,2676,2141
190,190,2421,1692,1510,2574,2398,2141
191,191,1515,194,192,2087,2580,1667
192,192,2437,191,3721,2580,2402,1667
193,193,1709,677,194,2149,2148,1667
194,194,1518,193,191,2148,2087,1667
195,195,1666,1522,4745,2756,2135,2088
196,196,2418,1684,1524,2678,2588,2139
197,197,1683,4744,1523,2138,2139,2088
198,198,4748,200,201,1670,1669,1668
199,199,4754,201,202,1673,1671,1668
200,200,651,203,198,2383,1670,1668
201,201,4749,198,199,1669,1673,1668
202,202,4751,199,203,1671,2382,1668
203,203,2410,202,200,2382,2383,1668
204,204,1529,4746,205,2094,2095,1672
205,205,206,204,4749,2095,1673,1672
206,206,207,205,4754,2095,1674,1673
207,207,1530,206,4753,2095,2093,1674
208,208,1534,209,4766,2405,2098,1675
209,209,210,2045,208,1676,2405,1675
210,210,2448,3750,209,2406,2405,1676
211,211,2449,213,3699,2407,2408,1677
212,212,213,214,3695,2407,1679,1678
213,213,212,2011,211,1679,2407,1677
214,214,2451,4772,212,2409,2407,1678
215,215,216,217,3272,2416,1681,1680
216,216,2457,215,3673,2416,2413,1681
217,217,1538,4784,215,2107,2416,1680
218,218,1546,1543,5261,2109,2108,2105
219,219,1548,4786,1544,2111,2109,2102
220,220,222,1017,223,1913,2112,1912
221,221,1550,3751,222,2110,2112,1682
222,222,220,221,4764,2112,1913,1682
223,223,1549,220,4785,2112,2111,1912
224,224,225,226,2114,2118,1684,1683
225,225,227,224,2029,2118,1685,1684
226,226,1556,3824,224,2115,2118,1683
227,227,1555,225,4808,2118,2117,1685
228,228,1554,231,233,2117,2116,1686
229,229,4807,230,232,2444,1687,1686
230,230,2500,233,229,2445,2444,1686
231,231,4808,232,228,1688,2117,1686
232,232,3768,229,231,1687,1688,1686
233,233,3771,228,230,2116,2445,1686
234,234,4746,236,238,2094,1690,1689
235,235,249,239,237,1701,1697,1689
236,236,1527,237,234,2091,2094,1689
237,237,4809,235,236,1697,2091,1689
238,238,4812,234,239,1690,1692,1689
