,cell id,vertex id
0,0,5
1,0,4
2,0,2
3,0,3
4,0,16
5,0,17
6,1,4
7,1,5
8,1,25
9,1,24
10,1,50
11,1,51
12,2,58
13,2,3
14,2,2
15,2,6
16,2,8
17,2,60
18,3,16
19,3,3
20,3,58
21,3,59
22,3,123
23,3,126
24,4,17
25,4,16
26,4,126
27,4,125
28,4,338
29,4,339
30,5,27
31,5,28
32,5,31
33,5,30
34,5,371
35,5,372
36,6,31
37,6,28
38,6,380
39,6,377
40,6,384
41,6,386
42,7,39
43,7,38
44,7,41
45,7,40
46,7,408
47,7,409
48,8,2460
49,8,40
50,8,41
51,8,37
52,8,36
53,8,2467
54,9,44
55,9,43
56,9,54
57,9,53
58,9,421
59,9,422
60,10,431
61,10,383
62,10,384
63,10,377
64,10,378
65,10,433
66,11,378
67,11,379
68,11,375
69,11,376
70,11,432
71,11,433
72,12,435
73,12,438
74,12,436
75,12,437
76,12,439
77,12,440
78,13,44
79,13,422
80,13,423
81,13,42
82,13,436
83,13,438
84,14,448
85,14,7
86,14,47
87,14,49
88,14,52
89,14,450
90,15,485
91,15,484
92,15,482
93,15,483
94,15,490
95,15,491
96,16,76
97,16,487
98,16,489
99,16,485
100,16,491
101,16,493
102,17,79
103,17,62
104,17,63
105,17,61
106,17,506
107,17,507
108,18,441
109,18,442
110,18,109
111,18,108
112,18,553
113,18,555
114,19,589
115,19,587
116,19,588
117,19,122
118,19,124
119,19,591
120,20,123
121,20,59
122,20,57
123,20,46
124,20,590
125,20,592
126,21,591
127,21,124
128,21,125
129,21,126
130,21,123
131,21,592
132,22,611
133,22,526
134,22,524
135,22,83
136,22,134
137,22,612
138,23,624
139,23,626
140,23,627
141,23,625
142,23,628
143,23,629
144,24,636
145,24,633
146,24,635
147,24,632
148,24,634
149,24,637
150,25,632
151,25,460
152,25,461
153,25,456
154,25,457
155,25,634
156,26,630
157,26,631
158,26,628
159,26,625
160,26,633
161,26,636
162,27,702
163,27,36
164,27,37
165,27,419
166,27,418
167,27,703
168,28,1253
169,28,1258
170,28,1251
171,28,1252
172,28,1260
173,28,1261
174,29,1272
175,29,1271
176,29,1273
177,29,1274
178,29,1275
179,29,1276
180,30,338
181,30,125
182,30,124
183,30,122
184,30,1272
185,30,1276
186,31,1275
187,31,1274
188,31,337
189,31,26
190,31,1277
191,31,1280
192,32,1278
193,32,25
194,32,5
195,32,17
196,32,339
197,32,1279
198,33,1279
199,33,339
200,33,338
201,33,1276
202,33,1275
203,33,1280
204,34,1284
205,34,345
206,34,343
207,34,26
208,34,337
209,34,1285
210,35,1297
211,35,1248
212,35,1249
213,35,333
214,35,334
215,35,1298
216,36,368
217,36,50
218,36,24
219,36,366
220,36,1314
221,36,1315
222,37,381
223,37,382
224,37,27
225,37,372
226,37,1324
227,37,1325
228,38,1327
229,38,379
230,38,378
231,38,377
232,38,380
233,38,1329
234,39,29
235,39,373
236,39,375
237,39,379
238,39,1327
239,39,1328
240,40,1329
241,40,380
242,40,28
243,40,27
244,40,382
245,40,1330
246,41,3871
247,41,3869
248,41,1324
249,41,372
250,41,371
251,41,1335
252,42,1349
253,42,584
254,42,583
255,42,586
256,42,585
257,42,1351
258,43,1353
259,43,1282
260,43,1283
261,43,341
262,43,32
263,43,1354
264,44,398
265,44,4380
266,44,4378
267,44,397
268,44,1363
269,44,1364
270,45,1366
271,45,1365
272,45,1363
273,45,397
274,45,34
275,45,1368
276,46,34
277,46,3241
278,46,4388
279,46,33
280,46,1367
281,46,1368
282,47,1375
283,47,35
284,47,400
285,47,1371
286,47,1369
287,47,1376
288,48,411
289,48,412
290,48,409
291,48,408
292,48,4943
293,48,4944
294,49,53
295,49,54
296,49,55
297,49,56
298,49,1394
299,49,1396
300,50,1404
301,50,1400
302,50,1403
303,50,1401
304,50,1402
305,50,1405
306,51,414
307,51,415
308,51,417
309,51,416
310,51,1404
311,51,1405
312,52,1413
313,52,706
314,52,707
315,52,2480
316,52,2064
317,52,1414
318,53,1425
319,53,1421
320,53,1423
321,53,1424
322,53,1422
323,53,1426
324,54,434
325,54,430
326,54,429
327,54,45
328,54,1421
329,54,1425
330,55,1421
331,55,45
332,55,437
333,55,436
334,55,42
335,55,1423
336,56,428
337,56,426
338,56,427
339,56,425
340,56,1422
341,56,1424
342,57,1422
343,57,425
344,57,385
345,57,383
346,57,431
347,57,1426
348,58,1423
349,58,42
350,58,423
351,58,424
352,58,428
353,58,1424
354,59,431
355,59,433
356,59,432
357,59,434
358,59,1425
359,59,1426
360,60,762
361,60,369
362,60,370
363,60,363
364,60,365
365,60,763
366,61,770
367,61,768
368,61,769
369,61,765
370,61,764
371,61,771
372,62,776
373,62,772
374,62,774
375,62,773
376,62,775
377,62,777
378,63,445
379,63,48
380,63,49
381,63,47
382,63,772
383,63,776
384,64,772
385,64,47
386,64,7
387,64,8
388,64,6
389,64,774
390,65,773
391,65,51
392,65,50
393,65,368
394,65,367
395,65,775
396,66,6
397,66,2
398,66,4
399,66,51
400,66,773
401,66,774
402,67,775
403,67,367
404,67,767
405,67,766
406,67,444
407,67,777
408,68,783
409,68,782
410,68,780
411,68,781
412,68,784
413,68,1461
414,69,780
415,69,56
416,69,55
417,69,447
418,69,449
419,69,781
420,70,443
421,70,1395
422,70,1394
423,70,56
424,70,780
425,70,782
426,71,781
427,71,449
428,71,450
429,71,52
430,71,446
431,71,784
432,72,1464
433,72,1463
434,72,1462
435,72,785
436,72,786
437,72,787
438,73,1462
439,73,57
440,73,59
441,73,58
442,73,60
443,73,785
444,74,435
445,74,440
446,74,46
447,74,57
448,74,1462
449,74,1463
450,75,43
451,75,44
452,75,438
453,75,435
454,75,1463
455,75,1464
456,76,447
457,76,55
458,76,54
459,76,43
460,76,1464
461,76,787
462,77,785
463,77,60
464,77,8
465,77,7
466,77,448
467,77,786
468,78,786
469,78,448
470,78,450
471,78,449
472,78,447
473,78,787
474,79,798
475,79,797
476,79,794
477,79,795
478,79,796
479,79,799
480,80,63
481,80,62
482,80,454
483,80,455
484,80,800
485,80,801
486,81,802
487,81,804
488,81,805
489,81,803
490,81,806
491,81,807
492,82,802
493,82,790
494,82,792
495,82,1427
496,82,1428
497,82,804
498,83,810
499,83,812
500,83,811
501,83,813
502,83,1496
503,83,1497
504,84,1496
505,84,813
506,84,793
507,84,791
508,84,1498
509,84,1501
510,85,1498
511,85,791
512,85,790
513,85,802
514,85,807
515,85,1499
516,86,1560
517,86,508
518,86,509
519,86,10
520,86,463
521,86,1561
522,87,1564
523,87,459
524,87,461
525,87,460
526,87,458
527,87,1565
528,88,1569
529,88,458
530,88,460
531,88,632
532,88,635
533,88,1571
534,89,635
535,89,633
536,89,625
537,89,627
538,89,1570
