,vertex i,vertex j,lij,l0ij,Tij
0,0,5519,0.6204,0.6204,0.1
1,0,931,0.6204,0.6204,0.1
2,0,926,0.6204,0.6204,0.1
3,1,1914,0.6204,0.6204,0.1
4,1,144,0.6204,0.6204,0.1
5,1,2405,0.6204,0.6204,0.1
6,2,6,0.6204,0.6204,0.1
7,2,4,0.6204,0.6204,0.1
8,2,3,0.6204,0.6204,0.1
9,3,58,0.6204,0.6204,0.1
10,3,16,0.6204,0.6204,0.1
11,4,51,0.6204,0.6204,0.1
12,4,5,0.6204,0.6204,0.1
13,5,25,0.6204,0.6204,0.1
14,5,17,0.6204,0.6204,0.1
15,6,774,0.6204,0.6204,0.1
16,6,8,0.6204,0.6204,0.1
17,7,8,0.6204,0.6204,0.1
18,7,448,0.6204,0.6204,0.1
19,7,47,0.6204,0.6204,0.1
20,8,60,0.6204,0.6204,0.1
21,9,1648,0.6204,0.6204,0.1
22,9,10,0.6204,0.6204,0.1
23,9,3016,0.6204,0.6204,0.1
24,10,509,0.6204,0.6204,0.1
25,10,463,0.6204,0.6204,0.1
26,11,87,0.6204,0.6204,0.1
27,11,542,0.6204,0.6204,0.1
28,11,12,0.6204,0.6204,0.1
29,12,532,0.6204,0.6204,0.1
30,12,1715,0.6204,0.6204,0.1
31,13,14,0.6204,0.6204,0.1
32,13,110,0.6204,0.6204,0.1
33,13,120,0.6204,0.6204,0.1
34,14,3212,0.6204,0.6204,0.1
35,14,15,0.6204,0.6204,0.1
36,15,522,0.6204,0.6204,0.1
37,15,1770,0.6204,0.6204,0.1
38,16,126,0.6204,0.6204,0.1
39,16,17,0.6204,0.6204,0.1
40,17,339,0.6204,0.6204,0.1
41,18,5514,0.6204,0.6204,0.1
42,18,1850,0.6204,0.6204,0.1
43,18,136,0.6204,0.6204,0.1
44,19,2050,0.6204,0.6204,0.1
45,19,4733,0.6204,0.6204,0.1
46,19,3764,0.6204,0.6204,0.1
47,20,4644,0.6204,0.6204,0.1
48,20,21,0.6204,0.6204,0.1
49,20,3802,0.6204,0.6204,0.1
50,21,295,0.6204,0.6204,0.1
51,21,294,0.6204,0.6204,0.1
52,22,2365,0.6204,0.6204,0.1
53,22,1162,0.6204,0.6204,0.1
54,22,2508,0.6204,0.6204,0.1
55,23,2526,0.6204,0.6204,0.1
56,23,2900,0.6204,0.6204,0.1
57,23,1162,0.6204,0.6204,0.1
58,24,366,0.6204,0.6204,0.1
59,24,25,0.6204,0.6204,0.1
60,24,50,0.6204,0.6204,0.1
61,25,1278,0.6204,0.6204,0.1
62,26,343,0.6204,0.6204,0.1
63,26,337,0.6204,0.6204,0.1
64,26,1277,0.6204,0.6204,0.1
65,27,382,0.62041,0.62041,0.1
66,27,372,0.62042,0.62041,0.1
67,27,28,0.6204,0.6204,0.1
68,28,380,0.62041,0.6204,0.1
69,28,31,0.6204,0.6204,0.1
70,29,1823,0.6204,0.6204,0.1
71,29,1328,0.6204,0.6204,0.1
72,29,373,0.6204,0.6204,0.1
73,30,1334,0.62041,0.62041,0.1
74,30,31,0.6204,0.6204,0.1
75,30,371,0.62042,0.62041,0.1
76,31,386,0.62041,0.6204,0.1
77,32,392,0.6204,0.6204,0.1
78,32,341,0.6204,0.6204,0.1
79,32,1354,0.6204,0.6204,0.1
80,33,2763,0.62043,0.6205,0.1
81,33,4388,0.62044,0.6205,0.1
82,33,1367,0.62036,0.6203,0.1
83,34,3241,0.62044,0.6205,0.1
84,34,397,0.62043,0.6205,0.1
85,34,1368,0.62036,0.6203,0.1
86,35,1837,0.6204,0.6204,0.1
87,35,1375,0.6204,0.6204,0.1
88,35,400,0.6204,0.6204,0.1
89,36,702,0.62043,0.6205,0.1
90,36,37,0.62036,0.6203,0.1
91,36,2467,0.62044,0.6205,0.1
92,37,419,0.62042,0.62041,0.1
93,37,41,0.62038,0.62039,0.1
94,38,4090,0.6204,0.6204,0.1
95,38,39,0.62041,0.62041,0.1
96,38,41,0.62042,0.62041,0.1
97,39,1409,0.6204,0.6204,0.1
98,39,409,0.62042,0.62041,0.1
99,40,2460,0.62044,0.6205,0.1
100,40,41,0.62036,0.6203,0.1
101,40,408,0.62043,0.6205,0.1
102,42,1423,0.6204,0.6204,0.1
103,42,423,0.6204,0.6204,0.1
104,42,436,0.6204,0.6204,0.1
105,43,1464,0.6204,0.6204,0.1
106,43,44,0.6204,0.6204,0.1
107,43,54,0.6204,0.6204,0.1
108,44,438,0.6204,0.6204,0.1
109,44,422,0.6204,0.6204,0.1
110,45,437,0.6204,0.6204,0.1
111,45,429,0.6204,0.6204,0.1
112,45,1421,0.6204,0.6204,0.1
113,46,440,0.6204,0.6204,0.1
114,46,57,0.6204,0.6204,0.1
115,46,590,0.6204,0.6204,0.1
116,47,772,0.6204,0.6204,0.1
117,47,49,0.6204,0.6204,0.1
118,48,4127,0.6204,0.6204,0.1
119,48,445,0.6204,0.6204,0.1
120,48,49,0.6204,0.6204,0.1
121,49,52,0.6204,0.6204,0.1
122,50,368,0.6204,0.6204,0.1
123,50,51,0.6204,0.6204,0.1
124,51,773,0.6204,0.6204,0.1
125,52,446,0.6204,0.6204,0.1
126,52,450,0.6204,0.6204,0.1
127,53,1396,0.6204,0.6204,0.1
128,53,54,0.6204,0.6204,0.1
129,53,421,0.6204,0.6204,0.1
130,54,55,0.6204,0.6204,0.1
131,55,447,0.6204,0.6204,0.1
132,55,56,0.6204,0.6204,0.1
133,56,780,0.6204,0.6204,0.1
134,56,1394,0.6204,0.6204,0.1
135,57,1462,0.6204,0.6204,0.1
