,vertex id,x,y
0,0,10.7456993183,45.2894364763
1,1,10.2084143526,43.1180251385
2,2,38.1472325797,23.885524717
3,3,38.6845175455,23.5753230973
4,4,37.6099476138,23.5753230973
5,5,37.6099476138,22.9549198579
6,6,38.1472325797,24.5059279564
7,7,38.6845175455,25.4365328155
8,8,38.6845175455,24.816129576
9,9,35.9980927161,46.8404445749
10,10,35.4608077502,47.1506461946
11,11,5.9101347043,10.8570566764
12,12,6.4474196341,10.5468550776
13,13,26.3269633297,31.3303635898
14,14,25.7896783638,31.0201619701
15,15,25.7896783638,30.3997587307
16,16,38.6845175455,22.9549198578
17,17,38.1472325797,22.6447182382
18,18,33.8489528524,2.1714113379
19,19,12.357554216,37.5343959838
20,20,31.6998129888,55.5260899265
21,21,31.1625280229,55.2158883068
22,22,16.1185489774,6.2040323941
23,23,16.6558339433,5.2734275349
24,24,36.535377682,22.9549198579
25,25,37.0726626479,22.6447182382
26,26,37.0726626479,20.1631052806
27,27,47.8183561311,22.6447227291
28,28,47.2810773176,22.9549212628
29,29,45.6692213448,20.783508608
30,30,47.8183561311,23.8855202261
31,31,47.2810773176,23.5753216924
32,32,38.1472325797,9.6162502108
33,33,48.8929021732,5.893845473
34,34,48.8929021732,7.1346225545
35,35,41.9082273187,3.1020162013
36,36,48.8929021732,35.0527683276
37,37,48.3556604496,34.7425696655
38,38,47.818356131,33.8119810383
39,39,47.818356131,33.1915688171
40,40,48.8929021732,33.811991246
41,41,48.3556604496,34.1221899081
42,42,42.9827971937,24.816129563
43,43,41.3709423641,25.746734433
44,44,41.9082273187,25.4365328197
45,45,42.9827971937,23.5753231104
46,46,40.833657404,23.5753230984
47,47,38.1472325797,25.7467344352
48,48,37.6099476138,26.6773392943
49,49,38.1472325797,26.3671376746
50,50,36.535377682,23.5753230973
51,51,37.0726626479,23.885524717
52,52,38.6845175455,26.6773392942
53,53,41.9082273187,26.67733929
54,54,41.3709423641,26.3671376768
55,55,40.833657404,26.6773392932
56,56,40.833657404,27.2977425348
57,57,40.2963724409,23.8855247164
58,58,39.2218025111,23.8855247169
59,59,39.7590874764,23.5753230975
60,60,39.2218025111,24.5059279565
61,61,38.1472325797,43.1180251385
62,62,38.6845175455,44.0486299976
63,63,38.6845175455,43.4282267581
64,64,28.4761031933,46.2200413355
65,65,29.0133881592,45.9098397158
66,66,43.5200821,42.4976218777
67,67,41.3709423641,46.2200413332
68,68,40.833657404,45.9098397169
69,69,44.5946518077,43.1180251842
70,70,45.6692213448,42.4976218111
71,71,46.206506249,51.4934688181
72,72,46.206506249,50.8730656832
73,73,39.2218025111,49.9424607717
74,74,45.6692213448,50.5628640992
75,75,39.7590874764,52.7342753489
76,76,37.0726626479,54.2852834477
77,77,31.1625280229,42.1874202793
78,78,31.6998129888,42.4976218991
79,79,38.1472325797,44.3588316172
80,80,9.1338444216,11.4774599292
81,81,9.1338444216,10.8570566893
82,82,24.177823466,25.7467344352
83,83,4.2982800903,6.2040323483
84,84,4.8355649229,14.5794760948
85,85,4.2982800903,13.6488712211
86,86,4.2982800903,14.269274552
87,87,5.9101347043,11.4774599421
88,88,3.7609952852,10.8570566425
89,89,3.7609952852,13.3386696942
90,90,3.2237105532,13.6488711788
91,91,26.8642482956,49.6322591521
92,92,26.8642482956,50.873065631
93,93,26.3269633297,50.5628640113
94,94,20.4168287047,42.1874202793
95,95,20.9541136706,42.4976218991
96,96,20.4168287047,41.5670170399
97,97,21.4913986365,42.1874202793
98,98,21.4913986365,41.56701704
99,99,20.9541136706,41.2568154202
100,100,20.4168287047,39.7058073217
101,101,20.9541136706,39.395605702
102,102,20.4168287047,40.3262105611
103,103,24.715108432,45.9098397157
104,104,25.2523933979,44.9792348566
105,105,25.7896783638,45.2894364763
106,106,25.7896783638,45.9098397158
107,107,25.2523933979,46.2200413355
108,108,28.4761031933,29.4691538716
109,109,29.0133881593,29.1589522519
110,110,26.8642482956,31.0201619701
111,111,23.1032535342,38.7752024626
112,112,27.9388182274,28.5385490125
113,113,27.9388182274,29.1589522519
114,114,36.535377682,32.8813716883
115,115,32.2370979547,36.6037911247
116,116,31.6998129888,36.9139927444
117,117,29.0133881593,32.2609684489
118,118,29.0133881593,32.8813716883
119,119,26.8642482956,32.2609684489
120,120,26.3269633297,31.9507668292
121,121,44.5946518077,20.1631052348
122,122,39.7590874764,21.0937101394
123,123,39.7590874764,22.9549198576
124,124,39.7590874764,21.7141133793
125,125,39.2218025111,22.0243149987
126,126,39.2218025111,22.6447182383
127,127,37.0726626479,1.5510080985
128,128,37.6099476138,1.2408064788
129,129,36.535377682,0.6204032394
130,130,36.535377682,1.2408064789
131,131,27.9388182274,3.102016197
132,132,28.4761031933,3.4122178168
133,133,5.372849798,6.2040323727
134,134,4.8355649229,5.8938308055
135,135,7.5219895339,41.5670170377
136,136,33.3116678866,2.4816129576
137,137,6.9847045793,41.2568154245
138,138,5.9101347043,40.6364121677
139,139,4.8355649229,40.6364121497
140,140,4.8355649229,41.2568154514
141,141,5.372849798,40.3262105825
142,142,5.372849798,41.5670170186
143,143,5.9101347043,41.2568154334
144,144,10.2084143526,42.497621899
145,145,10.2084143526,41.2568154203
146,146,9.6711293869,41.5670170398
147,147,9.6711293869,42.1874202795
148,148,12.357554216,38.7752024626
149,149,12.8948391819,38.4650008429
150,150,12.357554216,39.395605702
151,151,12.8948391819,39.7058073217
152,152,11.2829842842,40.6364121808
153,153,10.7456993183,39.7058073217
154,154,11.8202692501,39.7058073217
155,155,10.7456993183,40.3262105611
156,156,11.2829842842,39.395605702
157,157,11.8202692501,40.3262105611
158,158,6.9847045793,44.9792348609
159,159,7.5219895339,45.2894364741
160,160,8.059274494,46.2200413343
161,161,9.1338444216,46.8404445751
162,162,8.059274494,46.840444576
163,163,8.596559457,47.150646194
164,164,6.9847045793,46.2200413312
165,165,4.8355649229,42.4976218679
166,166,4.8355649229,43.1180251696
167,167,5.372849798,42.1874203007
168,168,5.9101347043,42.4976218859
169,169,5.372849798,43.4282267368
170,170,5.9101347043,43.1180251516
171,171,9.1338444216,42.4976218988
172,172,8.5965594571,42.1874202799
173,173,8.059274494,43.1180251396
174,174,8.059274494,42.4976218979
175,175,8.596559457,49.6322591527
176,176,8.5965594571,50.8730656304
177,177,10.7456993183,49.6322591522
178,178,10.7456993183,49.0118559127
179,179,9.6711293869,49.0118559126
180,180,10.2084143526,48.7016542931
181,181,8.059274494,48.7016542942
182,182,8.596559457,47.7710494345
183,183,8.059274494,48.0812510525
184,184,8.596559457,49.0118559122
185,185,9.1338444216,48.0812510534
186,186,9.1338444216,48.7016542933
187,187,9.1338444216,51.8036704898
188,188,9.6711293869,51.4934688705
189,189,6.9847045793,53.664880204
190,190,8.059274494,54.2852834488
191,191,3.7609952852,44.3588315702
192,192,4.2982800903,44.0486300433
193,193,3.2237105532,43.4282266701
194,194,3.2237105532,44.0486300856
195,195,0.5372714484,51.8036822311
196,196,2.686425649,51.8036705423
197,197,1.6118545804,52.4240723245
198,198,14.5066940796,44.9792348566
199,199,13.9694091137,44.0486299975
200,200,13.9694091137,45.2894364764
201,201,14.5066940796,44.3588316173
