,vertex i,vertex j,lij,l0ij,Tij
0,0,344,0.6204,0.6204,0.1
1,0,403,0.6204,0.6204,0.1
2,0,12,0.62041,0.6204,0.1
3,1,367,0.62041,0.62049,0.1
4,1,2,0.6204,0.6204,0.1
5,1,9,0.62041,0.62041,0.1
6,2,374,0.6204,0.6204,0.1
7,2,64,0.62041,0.62041,0.1
8,3,319,0.6204,0.6204,0.1
9,3,5,0.62041,0.6204,0.1
10,3,7,0.6204,0.6204,0.1
11,4,8,0.62041,0.62041,0.1
12,4,6,0.62039,0.6204,0.1
13,4,299,0.62041,0.62041,0.1
14,5,462,0.6204,0.6204,0.1
15,5,6,0.6204,0.6204,0.1
16,6,511,0.6204,0.6204,0.1
17,7,470,0.6204,0.6204,0.1
18,7,8,0.62039,0.6204,0.1
19,8,467,0.62041,0.62041,0.1
20,9,217,0.6204,0.6204,0.1
21,9,55,0.62041,0.62049,0.1
22,10,216,0.6204,0.6204,0.1
23,10,57,0.62041,0.62041,0.1
24,10,56,0.62041,0.62049,0.1
25,11,375,0.6204,0.6204,0.1
26,11,63,0.6204,0.6204,0.1
27,11,59,0.6204,0.6204,0.1
28,12,66,0.6204,0.6204,0.1
29,12,95,0.62041,0.6204,0.1
30,13,72,0.6204,0.6204,0.1
31,13,62,0.6204,0.6204,0.1
32,13,14,0.6204,0.6204,0.1
33,14,240,0.6204,0.6204,0.1
34,14,234,0.6204,0.6204,0.1
35,15,389,0.6204,0.6204,0.1
36,15,258,0.6204,0.6204,0.1
37,15,75,0.6204,0.6204,0.1
38,16,39,0.6204,0.62036,0.1
39,16,27,0.62041,0.62041,0.1
40,16,516,0.6204,0.6204,0.1
41,17,279,0.6204,0.6204,0.1
42,17,261,0.6204,0.6204,0.1
43,17,20,0.6204,0.6204,0.1
44,18,282,0.6204,0.6204,0.1
45,18,84,0.6204,0.6204,0.1
46,18,263,0.6204,0.6204,0.1
47,19,332,0.6204,0.6204,0.1
48,19,22,0.6204,0.6204,0.1
49,19,20,0.6204,0.6204,0.1
50,20,21,0.6204,0.6204,0.1
51,21,85,0.6204,0.6204,0.1
52,21,86,0.6204,0.6204,0.1
53,22,23,0.6204,0.6204,0.1
54,22,277,0.6204,0.6204,0.1
55,23,162,0.6204,0.6204,0.1
56,23,24,0.6204,0.6204,0.1
57,24,271,0.6204,0.6204,0.1
58,24,89,0.6204,0.6204,0.1
59,25,479,0.6204,0.6204,0.1
60,25,26,0.6204,0.6204,0.1
61,25,167,0.6204,0.6204,0.1
62,26,477,0.6204,0.6204,0.1
63,26,171,0.6204,0.6204,0.1
64,27,96,0.62041,0.62041,0.1
65,27,82,0.62039,0.6204,0.1
66,28,31,0.62041,0.6204,0.1
67,28,29,0.6204,0.6204,0.1
68,28,305,0.62041,0.6204,0.1
69,29,297,0.62041,0.6204,0.1
70,29,316,0.62041,0.6204,0.1
71,30,298,0.6204,0.6204,0.1
72,30,31,0.62041,0.6204,0.1
73,30,484,0.62041,0.62041,0.1
74,31,247,0.6204,0.6204,0.1
75,32,33,0.62041,0.62041,0.1
76,32,34,0.62041,0.62049,0.1
77,32,490,0.6204,0.6204,0.1
78,33,35,0.62041,0.62049,0.1
79,33,498,0.6204,0.6204,0.1
80,34,39,0.62041,0.62045,0.1
81,34,103,0.6204,0.62032,0.1
82,35,40,0.62041,0.62045,0.1
83,35,314,0.6204,0.62032,0.1
84,36,313,0.6204,0.6204,0.1
85,36,333,0.6204,0.6204,0.1
86,36,462,0.6204,0.6204,0.1
87,37,166,0.6204,0.6204,0.1
88,37,38,0.6204,0.6204,0.1
89,37,318,0.6204,0.6204,0.1
90,38,471,0.6204,0.6204,0.1
91,38,333,0.6204,0.6204,0.1
92,39,40,0.62037,0.6203,0.1
93,40,286,0.6204,0.62036,0.1
94,41,44,0.6204,0.6204,0.1
95,41,42,0.62041,0.6204,0.1
96,41,428,0.62041,0.62041,0.1
97,42,101,0.62041,0.6204,0.1
98,42,342,0.6204,0.6204,0.1
99,43,115,0.6204,0.6204,0.1
100,43,317,0.6204,0.6204,0.1
101,43,320,0.6204,0.6204,0.1
102,44,45,0.62041,0.6204,0.1
103,44,295,0.62041,0.62041,0.1
104,45,102,0.62041,0.6204,0.1
105,45,499,0.6204,0.6204,0.1
106,46,98,0.6204,0.6204,0.1
107,46,48,0.6204,0.6204,0.1
108,46,454,0.6204,0.6204,0.1
109,47,48,0.6204,0.6204,0.1
110,47,49,0.62041,0.6204,0.1
111,47,508,0.6204,0.6204,0.1
112,48,510,0.6204,0.6204,0.1
113,49,100,0.6204,0.6204,0.1
114,49,500,0.62041,0.6204,0.1
115,50,83,0.6204,0.6204,0.1
116,50,53,0.62041,0.6204,0.1
117,50,262,0.6204,0.6204,0.1
118,51,394,0.6204,0.6204,0.1
119,51,264,0.6204,0.6204,0.1
120,51,52,0.62041,0.6204,0.1
121,52,400,0.62041,0.6204,0.1
122,52,53,0.6204,0.6204,0.1
123,53,54,0.62041,0.6204,0.1
124,54,149,0.6204,0.6204,0.1
125,54,178,0.62041,0.6204,0.1
126,55,56,0.6204,0.62032,0.1
127,55,181,0.62041,0.62045,0.1
128,56,180,0.62041,0.62045,0.1
129,57,183,0.6204,0.6204,0.1
130,57,58,0.62041,0.62049,0.1
131,58,369,0.6204,0.62032,0.1
132,58,179,0.62041,0.62045,0.1
133,59,382,0.6204,0.6204,0.1
134,59,191,0.6204,0.6204,0.1
135,60,422,0.62041,0.62041,0.1
136,60,80,0.6204,0.6204,0.1
137,60,371,0.6204,0.62036,0.1
138,61,194,0.6204,0.6204,0.1
139,61,233,0.6204,0.6204,0.1
140,61,62,0.6204,0.6204,0.1
141,62,390,0.6204,0.6204,0.1
142,63,202,0.6204,0.6204,0.1
143,63,199,0.6204,0.6204,0.1
144,64,65,0.62041,0.6204,0.1
145,64,220,0.6204,0.6204,0.1
146,65,94,0.6204,0.6204,0.1
147,65,69,0.62041,0.6204,0.1
148,66,156,0.62041,0.6204,0.1
149,66,69,0.62041,0.6204,0.1
150,67,157,0.62041,0.6204,0.1
151,67,71,0.6204,0.6204,0.1
152,67,68,0.62041,0.6204,0.1
153,68,69,0.6204,0.6204,0.1
154,68,219,0.62041,0.6204,0.1
155,70,221,0.6204,0.6204,0.1
156,70,218,0.62041,0.6204,0.1
157,70,71,0.62041,0.6204,0.1
158,71,224,0.62041,0.6204,0.1
159,72,73,0.6204,0.6204,0.1
160,72,237,0.6204,0.6204,0.1
161,73,388,0.6204,0.6204,0.1
162,73,259,0.6204,0.6204,0.1
163,74,246,0.6204,0.6204,0.1
164,74,226,0.6204,0.6204,0.1
165,74,206,0.6204,0.6204,0.1
166,75,253,0.6204,0.6204,0.1
167,75,78,0.6204,0.6204,0.1
168,76,363,0.6204,0.6204,0.1
169,76,408,0.6204,0.6204,0.1
170,76,77,0.6204,0.6204,0.1
171,77,346,0.6204,0.6204,0.1
172,77,402,0.6204,0.6204,0.1
173,78,123,0.6204,0.6204,0.1
174,78,79,0.6204,0.6204,0.1
175,79,407,0.6204,0.6204,0.1
176,79,229,0.6204,0.6204,0.1
177,80,415,0.62041,0.62041,0.1
178,80,179,0.6204,0.62036,0.1
179,81,417,0.62041,0.62041,0.1
180,81,232,0.6204,0.6204,0.1
181,81,180,0.6204,0.62036,0.1
182,82,420,0.6204,0.6204,0.1
183,82,290,0.6204,0.6204,0.1
184,83,151,0.62041,0.6204,0.1
185,83,84,0.6204,0.6204,0.1
186,84,433,0.6204,0.6204,0.1
187,85,331,0.6204,0.6204,0.1
188,85,440,0.6204,0.6204,0.1
189,86,268,0.6204,0.6204,0.1
