,vertex id,x,y
0,0,9.6711326255,9.926452263
1,1,12.8948539947,8.6856482651
2,2,12.3575728019,8.9958494463
3,3,2.1491518421,17.3712892496
4,4,1.07459248,17.9916983295
5,5,2.1491518421,17.9916953964
6,6,1.6118679284,18.3018961947
7,7,1.6118679284,17.0610884513
8,8,1.07459248,17.3712863164
9,9,12.8948539947,8.0652391988
10,10,12.8948539947,6.8244385469
11,11,2.6864330612,12.7182657176
12,12,10.2084194078,9.6162495946
13,13,3.7609985274,7.1346367731
14,14,3.2237156135,6.8244363381
15,15,5.9101350859,7.7550405596
16,16,0.5372974738,1.5510091757
17,17,7.5219899151,3.1020161454
18,18,8.5965606161,2.4816131398
19,19,6.4474198939,3.1020162211
20,20,6.984704839,3.4122178288
21,21,6.984704839,4.0326210441
22,22,6.4474198939,2.4816129336
23,23,5.9101350859,2.171411405
24,24,5.9101350859,1.5510080315
25,25,5.3728504574,16.1304843522
26,26,5.9101350859,16.4406857771
27,27,1.07459248,1.2408108657
28,28,10.7457067236,17.371291444
29,29,10.7457067237,17.9916932019
30,30,11.8202823793,17.3712911649
31,31,11.2829948111,17.0610880235
32,32,12.8948539947,1.2408093923
33,33,12.8948539947,0.620400326
34,34,13.4321529756,1.5510099987
35,35,13.4321529756,0.3101997195
36,36,3.2237156135,17.9916946473
37,37,4.2982820752,17.3712903645
38,38,4.2982820752,17.9916942814
39,39,2.13812e-05,1.240791679
40,40,2.13812e-05,0.6204180393
41,41,11.8202823793,11.7876620103
42,42,11.2829948111,11.4774588689
43,43,3.2237156135,16.1304849291
44,44,11.8202823793,12.4080643264
45,45,11.2829948111,12.7182674678
46,46,9.133846404,12.7182667001
47,47,9.6711326255,13.6488716994
48,48,9.133846404,13.3386693548
49,49,10.2084194077,13.338669031
50,50,9.6711326255,3.1020157645
51,51,9.6711326255,4.3428231084
52,52,10.2084194077,4.03262044
53,53,10.2084194077,3.4122184329
54,54,10.7457067236,3.1020154563
55,55,13.4321529756,7.7550385923
56,56,13.4321529756,7.1346391534
57,57,12.8948539947,6.2040294806
58,58,13.4321529756,5.8938288741
59,59,2.6864330612,13.3386703373
60,60,0.5372974738,5.2734286121
61,61,3.2237156135,8.0652414076
62,62,3.7609985274,7.7550409726
63,63,3.2237156135,12.4080654927
64,64,11.8202823793,8.68564489
65,65,11.2829948111,8.9958480314
66,66,10.2084194078,8.9958475875
67,67,10.2084194078,7.7550398764
68,68,10.7457067237,8.065242853
69,69,10.7457067237,8.6856446109
70,70,10.7457067237,6.8244348927
71,71,10.2084194078,7.1346378693
72,72,4.2982820752,6.8244359722
73,73,4.8355660835,7.134637039
74,74,6.984704839,12.7182664198
75,75,6.4474198939,8.0652420882
76,76,8.0592751525,10.8570567947
77,77,8.5965606161,10.5468548877
78,78,6.4474198939,8.6856453757
79,79,6.984704839,8.9958469834
80,80,0.5372974738,5.8938296972
81,81,0.5372974738,7.1346383304
82,82,1.6118679284,1.5510087308
83,83,9.6711326255,2.4816133902
84,84,9.133846404,2.1714110456
85,85,6.4474198939,4.3428226518
86,86,7.5219899151,4.3428227275
87,87,8.5965606161,4.9632257331
88,88,3.7609985274,1.5510076185
89,89,6.4474198939,1.2408065029
90,90,7.5219899151,17.9916938911
91,91,7.5219899151,17.3712907549
92,92,2.13812e-05,17.9916791428
93,93,2.13812e-05,17.3713055031
94,94,11.2829948111,9.6162491507
95,95,10.7457067237,9.9264525712
96,96,1.07459248,0.6203988526
97,97,9.6711326255,11.7876619812
98,98,9.6711326255,12.4080643555
99,99,10.2084194077,11.4774593128
100,100,10.2084194077,12.7182670239
101,101,10.7457067237,11.7876622894
102,102,10.7457067237,12.4080640473
103,103,13.4321529756,2.1714094377
104,104,0.5372974738,14.5794772031
105,105,0.5372974738,15.1998782882
106,106,1.07459248,14.2692788931
107,107,1.6118679284,14.5794767583
108,108,3.7609985274,14.5794756459
109,109,3.2237156135,14.2692752109
110,110,2.6864330612,15.1998800555
111,111,2.6864330612,14.5794754358
112,112,4.2982820752,16.1304845632
113,113,4.2982820752,15.5100806463
114,114,3.7609985274,15.1998798454
115,115,3.2237156135,15.5100802804
116,116,5.3728504574,13.6488711391
117,117,5.3728504574,14.269274634
118,118,4.8355660835,13.3386698613
119,119,4.2982820752,13.6488709281
120,120,4.2982820752,14.269274845
121,121,4.8355660835,14.5794759118
122,122,5.3728504574,9.9264517027
123,123,5.9101350859,8.9958469043
124,124,4.8355660835,9.6162504249
125,125,5.9101350859,9.6162502778
126,126,4.8355660835,8.9958467572
127,127,5.3728504574,8.6856454794
128,128,12.3575728019,5.2734300099
129,129,12.3575728019,4.0326185812
130,130,12.8948539947,4.3428197624
131,131,12.8948539947,4.9632288287
132,132,11.8202823793,4.9632254536
133,133,11.8202823793,4.3428231375
134,134,6.984704839,11.4774599169
135,135,6.984704839,10.8570567016
136,136,6.4474198939,11.7876615246
137,137,6.4474198939,10.5468550939
138,138,5.9101350859,11.477459996
139,139,5.9101350859,10.8570566225
140,140,2.1491518421,9.9264503767
141,141,2.1491518421,8.6856468054
142,142,2.6864330612,8.9958462812
143,143,2.6864330612,9.6162509009
144,144,1.6118679284,9.6162495784
145,145,1.6118679284,8.9958476037
146,146,2.6864330612,2.1714120281
147,147,2.1491518421,2.4816115039
148,148,3.2237156135,2.481612253
149,149,10.7457067237,2.4816136984
150,150,10.7457067237,1.2408057381
151,151,10.2084194078,2.1714107218
152,152,10.2084194078,1.5510087147
153,153,9.133846404,0.3102013274
154,154,8.5965606161,0.6204034216
155,155,9.133846404,8.9958472637
156,156,9.6711326255,8.6856449191
157,157,9.6711326255,8.0652425448
158,158,8.5965606161,8.6856451695
159,159,8.5965606161,8.0652422944
160,160,9.133846404,7.7550402002
161,161,4.8355660835,2.1714115521
162,162,5.3728504574,2.4816128299
163,163,4.2982820752,3.1020165358
